0	0
1	1
2	2
3	3
4	4
5	5
<pad>	6
-1	7
6	8
-28	9
-27	10
-26	11
-25	12
-24	13
-23	14
-22	15
-21	16
-20	17
-19	18
-18	19
-17	20
-16	21
-15	22
-14	23
-13	24
-12	25
-11	26
-10	27
-9	28
-8	29
-7	30
-6	31
-5	32
-4	33
-3	34
-2	35
7	36
8	37
9	38
10	39
11	40
12	41
13	42
14	43
15	44
16	45
17	46
18	47
19	48
20	49
21	50
22	51
23	52
24	53
25	54
26	55
27	56
28	57
-35	58
-34	59
-33	60
-32	61
-31	62
-30	63
-29	64
29	65
30	66
31	67
32	68
33	69
34	70
35	71
-36	72
36	73
37	74
38	75
39	76
40	77
-44	78
-43	79
-42	80
-41	81
-40	82
-39	83
-38	84
-37	85
41	86
42	87
43	88
44	89
45	90
46	91
47	92
48	93
49	94
50	95
51	96
52	97
53	98
54	99
-49	100
-48	101
-47	102
-46	103
-45	104
-52	105
-51	106
-50	107
55	108
56	109
57	110
58	111
59	112
60	113
-56	114
-55	115
-54	116
-53	117
-60	118
-59	119
-58	120
-57	121
UNK	122
